100,209.12,1.8887,4.9141,3.0622,0.043553,7.9675,0.092287,0
147.14,206.94,1.5252,4.2234,0.86904,0.041539,2.4065,0.039705,0
150.89,225.05,1.3347,4.1762,2.1536,0.061708,6.7384,0.14758,0
189.48,274.54,2.0066,3.8604,1.1345,0.035255,2.1826,0.055627,0
156.82,261.69,2.4784,5.0039,0.67926,0.079213,1.3714,0.046449,0
105.06,224.94,1.4998,6.2432,1.4781,0.056949,6.1529,0.28332,0
105.3,224.99,1.4888,6.6792,1.4569,0.034575,6.5363,0.14467,0
156.82,261.69,2.4784,5.0039,0.67926,0.079213,1.3714,0.046449,0
100,409.22,1.6026,4.6398,0.67439,0.085739,1.9524,0.065971,9
188.15,337.43,1.591,3.1482,0.38518,0.068552,0.76219,0.042433,3
181.19,202.76,1.7371,3.027,1.1055,0.084481,1.9264,0.076888,6
100.02,409.16,1.6106,4.685,0.7024,0.076038,2.0432,0.070091,9
196.15,275.91,2.1553,13.378,0.092028,0.010021,0.5712,0.016768,38
