250.01,4.5693,8.7796,0.12335,0.43649,0.21885,0.43119,0
251.45,4.8823,3.5686,0.051255,0.65457,0.20482,0.22633,0
250,4.3155,7.3794,0.19196,0.63081,0.23172,0.57267,0
274.54,4.7464,3.0396,0.068394,0.5645,0.21068,0.40872,0
261.69,5.2205,1.4601,0.04846,0.41175,0.19155,0.11718,0
250.39,5.6397,8.569,0.42782,0.61494,0.17731,0.79685,0
250.27,6.3476,9.5891,0.22946,0.62127,0.15754,0.62646,0
261.69,5.2205,1.4601,0.04846,0.41175,0.19155,0.11718,0
409.22,4.9341,1.9713,0.070157,0.59243,0.20267,0.16584,8
337.43,3.222,0.9471,0.043427,0.62684,0.31037,0.19662,2
345.02,3.3132,2.2738,0.086441,0.60438,0.30183,0.30066,3
409.16,5.019,2.078,0.075087,0.58946,0.19924,0.19675,7
275.91,13.849,0.86839,0.017358,0.23903,0.072208,0.12508,10
250.04,6.7344,7.0996,0.017235,0.50528,0.14849,0.25965,8
250.29,6.6494,7.3681,0.077049,0.48808,0.15039,0.7868,8
332.51,8.2701,2.2901,0.11358,0.56478,0.12092,0.29567,14
257.43,2.5541,4.8191,0.14881,0.53854,0.39152,0.35894,0
285.01,1.6959,2.1634,0.28823,0.63299,0.58967,0.29522,0
306.91,1.597,1.4624,0.22955,0.7325,0.62619,0.23528,0
257.43,2.5541,4.8191,0.14881,0.53854,0.39152,0.35894,0
368.12,2.9186,2.4779,0.056704,0.54567,0.34263,0.19765,0
284.89,1.937,2.6742,0.19254,0.63074,0.51627,0.27772,0
310.65,4.4264,4.5926,0.1407,0.72297,0.22592,0.38985,0
752.82,2.6199,0.23329,0.86844,0.27489,0.38169,0.28698,1
301.78,4.0433,2.7103,0.15221,0.59947,0.24732,0.44974,0
752.82,2.6199,0.23329,0.86844,0.27489,0.38169,0.28698,1
301.86,4.647,3.0085,0.14191,0.59843,0.21519,0.7141,0
