250.01,2.291,4.5693,2.3191,8.7796,0.12335,0.43649,0.21885,0.43119,3
251.45,1.5277,4.8823,4.4184,3.5686,0.051255,0.65457,0.20482,0.22633,0
250,1.5853,4.3155,1.7462,7.3794,0.19196,0.63081,0.23172,0.57267,0
274.54,1.7715,4.7464,2.4466,3.0396,0.068394,0.5645,0.21068,0.40872,0
261.69,2.4286,5.2205,8.5335,1.4601,0.04846,0.41175,0.19155,0.11718,0
250.39,1.6262,5.6397,1.2549,8.569,0.42782,0.61494,0.17731,0.79685,2
250.27,1.6096,6.3476,1.5963,9.5891,0.22946,0.62127,0.15754,0.62646,0
261.69,2.4286,5.2205,8.5335,1.4601,0.04846,0.41175,0.19155,0.11718,0
409.22,1.688,4.9341,6.03,1.9713,0.070157,0.59243,0.20267,0.16584,1
337.43,1.5953,3.222,5.086,0.9471,0.043427,0.62684,0.31037,0.19662,3
345.02,1.6546,3.3132,3.326,2.2738,0.086441,0.60438,0.30183,0.30066,1
409.16,1.6965,5.019,5.0825,2.078,0.075087,0.58946,0.19924,0.19675,2
275.91,4.1836,13.849,7.9952,0.86839,0.017358,0.23903,0.072208,0.12508,0
250.04,1.9791,6.7344,3.8513,7.0996,0.017235,0.50528,0.14849,0.25965,0
250.29,2.0488,6.6494,1.271,7.3681,0.077049,0.48808,0.15039,0.7868,0
332.51,1.7706,8.2701,3.3822,2.2901,0.11358,0.56478,0.12092,0.29567,0
257.43,1.8569,2.5541,2.786,4.8191,0.14881,0.53854,0.39152,0.35894,6
285.01,1.5798,1.6959,3.3873,2.1634,0.28823,0.63299,0.58967,0.29522,14
306.91,1.3652,1.597,4.2502,1.4624,0.22955,0.7325,0.62619,0.23528,10
257.43,1.8569,2.5541,2.786,4.8191,0.14881,0.53854,0.39152,0.35894,6
368.12,1.8326,2.9186,5.0594,2.4779,0.056704,0.54567,0.34263,0.19765,2
284.89,1.5855,1.937,3.6008,2.6742,0.19254,0.63074,0.51627,0.27772,10
310.65,1.3832,4.4264,2.5651,4.5926,0.1407,0.72297,0.22592,0.38985,5
752.82,3.6378,2.6199,3.4845,0.23329,0.86844,0.27489,0.38169,0.28698,16
301.78,1.6682,4.0433,2.2235,2.7103,0.15221,0.59947,0.24732,0.44974,2
752.82,3.6378,2.6199,3.4845,0.23329,0.86844,0.27489,0.38169,0.28698,16
301.86,1.6711,4.647,1.4004,3.0085,0.14191,0.59843,0.21519,0.7141,10
